Job started on lh1700.arc-ts.umich.edu at Wed Sep  4 07:28:36 EDT 2024
input loaded from LiMg-example-0.4-1000relax-CHG.yaml, batchMode = True, batchInit = True, batchTemp = 
LAMMPS calc!
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cuda
CHGNet will run on cuda
      Step     Time          Energy          fmax
FIRE:    0 07:28:55     -329.489551        0.772294
FIRE:    1 07:28:55     -329.507060        0.772229
FIRE:    2 07:28:55     -329.542954        0.772088
FIRE:    3 07:28:55     -329.596487        0.771864
FIRE:    4 07:28:55     -329.668173        0.771539
FIRE:    5 07:28:55     -329.757497        0.771092
FIRE:    6 07:28:55     -329.863764        0.770501
FIRE:    7 07:28:55     -329.988853        0.769744
FIRE:    8 07:28:55     -330.147160        0.768687
FIRE:    9 07:28:55     -330.347952        0.767241
FIRE:   10 07:28:55     -330.598826        0.765347
FIRE:   11 07:28:55     -330.864326        0.763380
FIRE:   12 07:28:55     -331.128436        0.761585
FIRE:   13 07:28:55     -331.391696        0.760062
FIRE:   14 07:28:55     -331.655188        0.758856
FIRE:   15 07:28:55     -331.917186        0.757965
FIRE:   16 07:28:55     -332.179673        0.757356
FIRE:   17 07:28:55     -332.441156        0.756977
FIRE:   18 07:28:55     -332.704082        0.756770
FIRE:   19 07:28:55     -332.966955        0.756687
FIRE:   20 07:28:55     -333.228413        0.756683
FIRE:   21 07:28:55     -333.490797        0.756725
FIRE:   22 07:28:55     -333.752306        0.756791
FIRE:   23 07:28:55     -334.015205        0.756866
FIRE:   24 07:28:55     -334.276663        0.756940
FIRE:   25 07:28:55     -334.539433        0.757015
FIRE:   26 07:28:55     -334.800917        0.757089
FIRE:   27 07:28:55     -335.063893        0.757165
FIRE:   28 07:28:55     -335.326818        0.757249
FIRE:   29 07:28:55     -335.588276        0.757341
FIRE:   30 07:28:55     -335.850918        0.757445
FIRE:   31 07:28:55     -336.112633        0.757563
FIRE:   32 07:28:55     -336.375661        0.757692
FIRE:   33 07:28:55     -336.638638        0.757834
FIRE:   34 07:28:56     -336.900533        0.757984
FIRE:   35 07:28:56     -337.163175        0.758145
FIRE:   36 07:28:56     -337.426229        0.758315
FIRE:   37 07:28:56     -337.688098        0.758498
FIRE:   38 07:28:56     -337.951178        0.758697
FIRE:   39 07:28:56     -338.214618        0.758914
FIRE:   40 07:28:56     -338.477775        0.759159
FIRE:   41 07:28:56     -338.739799        0.759434
FIRE:   42 07:28:56     -339.003239        0.759747
FIRE:   43 07:28:56     -339.266499        0.760100
