ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
432
ITEM: BOX BOUNDS pp pp pp
0.1590491104 15.0936849239
0.1474081327 15.1053259015
0.3115133877 30.1939546809
ITEM: ATOMS type x y z
1 2.63253 2.78659 2.83444
2 2.65503 2.6996 0.31501
2 2.73735 0.222856 2.67345
2 0.196813 2.51305 2.72843
2 5.25219 2.66316 2.90333
1 5.22816 0.17165 2.78058
1 5.1759 2.73575 0.418557
1 7.74751 2.58509 2.75249
2 7.631 0.202342 2.7315
2 7.63372 2.65778 0.37148
2 10.1237 2.58081 2.87605
1 10.2337 2.63222 0.359188
2 10.1349 0.207141 0.387249
1 12.5561 2.61395 2.85241
1 12.7163 0.187889 0.360468
2 2.58371 5.0719 2.87164
1 2.67376 5.07756 0.399399
1 2.53731 7.56102 2.89308
1 0.195879 5.03622 2.71439
1 5.03965 5.0554 2.9079
2 7.57718 5.1673 2.74755
2 5.12812 5.15649 0.353719
1 7.66054 5.02118 0.36165
1 10.1497 5.14413 2.81628
2 10.1288 7.55436 2.81257
2 10.1492 5.11532 0.428628
2 7.63649 7.59619 0.324203
1 7.63967 7.60315 2.91989
2 12.6336 5.18369 2.94304
1 12.6432 5.1801 0.333354
2 2.77924 10.1215 2.69828
1 0.350772 10.0509 2.7979
2 0.194417 7.63948 2.84127
1 2.66163 10.0363 0.348113
2 5.29413 7.65348 2.82423
1 5.12215 7.69362 0.450437
1 5.23513 10.1457 2.75251
2 7.76019 10.0744 2.8117
1 10.193 10.033 2.83407
2 10.2224 10.1296 0.36567
1 10.0559 7.68718 0.546581
1 7.75897 10.1283 0.364206
1 12.7484 7.6406 2.75067
2 15.0526 9.99187 0.321141
2 12.5798 9.98419 2.91478
1 0.301939 15.0273 2.79158
2 0.24384 14.9387 0.417778
1 2.67383 12.4813 2.94153
1 0.194024 12.4841 0.356679
2 2.48693 12.4433 0.387028
2 5.21657 12.5153 2.78265
1 4.90672 12.5465 0.323377
1 10.0875 15.0238 2.88086
1 7.68847 12.5521 2.78948
2 10.1024 12.6003 2.7944
2 7.66143 12.5368 0.321614
2 15.072 12.4714 2.93259
2 12.5276 15.038 2.73453
1 12.5161 12.4577 2.82697
2 2.68068 2.50482 5.17697
1 0.255678 2.74894 5.39797
1 5.23411 2.52316 5.28234
2 7.61972 2.49222 5.21543
1 10.0817 2.71761 5.31551
2 12.6021 2.55997 5.30152
1 2.72755 5.25311 5.27218
2 0.195568 5.04446 5.2792
2 2.68849 7.5695 5.33495
2 5.31809 5.1814 5.20068
1 7.5733 5.20076 5.292
2 7.70993 7.55952 5.4023
2 10.1098 5.09327 5.28562
1 10.3112 7.51665 5.24523
1 12.6561 5.2084 5.36432
1 2.61981 9.99897 5.3523
1 0.191379 7.81006 5.37062
2 0.188479 10.1256 5.31631
1 5.21329 7.62804 5.26797
2 5.08502 10.0072 5.25427
1 7.77556 9.92252 5.22896
2 10.1794 9.98043 5.29344
2 12.6765 7.65646 5.41534
1 12.6272 10.0991 5.29132
1 2.60604 14.9726 5.20851
2 0.25333 15.0242 5.22713
2 2.69999 12.5555 5.26901
2 5.22014 14.9717 5.16656
1 5.20399 12.5234 5.39142
1 7.66527 15.0989 5.20958
2 7.63929 12.598 5.18702
2 10.1005 15.0229 5.23431
1 10.1441 12.5814 5.32297
1 14.9238 12.4501 5.32906
1 12.6976 15.0976 5.07989
2 12.5838 12.4831 5.35109
1 2.66975 2.62697 7.73508
2 2.71182 2.57664 10.1728
2 5.18568 2.60142 7.85155
1 5.24479 0.16164 7.68645
2 7.60128 0.171036 7.60911
1 7.77383 2.63722 7.84735
2 10.1602 2.69988 7.67985
1 9.95089 2.62704 10.1926
1 10.1627 0.255892 7.65967
2 7.65317 2.58618 10.1251
2 15.0887 2.6043 7.74913
1 12.499 2.54174 7.84744
1 15.0736 2.65326 10.2373
1 15.0602 0.163808 7.65472
2 2.72591 5.04126 7.85667
2 0.252224 7.61837 7.82131
1 0.207588 5.00448 7.97506
1 0.370906 7.61442 10.2623
1 5.15969 5.11065 7.82969
2 7.6023 5.096 7.82791
2 5.13214 5.11437 10.2585
2 5.23002 7.57763 7.85263
1 10.0096 5.17186 7.69091
2 10.0892 5.17558 10.2481
1 7.6347 7.58352 7.92666
1 7.68145 4.95399 10.228
2 12.733 5.19553 7.70015
1 12.6557 7.59807 7.82545
2 12.6309 7.58685 10.2597
1 12.4992 5.15949 10.2491
1 2.73075 7.65879 7.87401
2 2.66674 10.0401 7.83626
1 2.71702 10.1314 10.2279
1 5.24231 10.0844 7.79946
2 5.14166 10.225 10.2197
2 7.62669 10.075 7.66954
2 10.1248 7.63853 7.87926
1 10.0999 10.0013 7.92463
2 10.1116 10.104 10.2355
1 15.0422 10.1659 7.91169
2 12.6751 9.96767 7.69968
1 12.6627 9.95147 10.2309
2 2.62297 15.037 7.63161
1 2.62795 12.5498 7.70477
1 2.71659 15.0814 10.0989
2 5.10135 12.5805 7.69717
1 7.5737 12.5638 7.88247
2 5.16534 15.0613 10.1623
1 4.98113 12.6139 10.1534
2 10.1279 12.6829 7.74277
2 10.1033 15.0686 10.1204
1 7.69689 15.0799 9.98585
2 12.5227 15.0436 7.69478
2 15.0279 12.6403 7.95291
1 12.5468 12.6375 7.86554
2 12.5353 12.561 10.2633
1 2.43995 2.59667 12.7064
2 0.184718 2.64797 12.6992
1 5.05588 2.68488 10.3213
2 5.11693 2.57267 12.6982
2 7.62183 0.231888 12.8199
1 7.64132 2.7369 12.7448
2 10.0611 2.61991 12.8019
2 12.5439 2.77508 10.3035
2 15.0293 0.176994 10.3104
1 12.4319 2.75851 12.7141
2 2.62645 7.51014 10.4272
2 0.290256 5.02556 10.3216
1 2.70562 5.0237 10.3259
2 2.62572 5.04119 12.7775
1 0.217005 5.14319 12.7064
1 5.13673 5.22353 12.7947
1 5.31281 7.50471 10.2929
1 10.0897 7.53509 10.3358
2 7.64666 5.06906 12.654
1 10.0002 5.16171 12.7656
2 12.5292 5.0515 12.823
1 12.5487 7.55884 12.8139
2 15.0543 7.5757 12.8313
2 0.192706 10.1521 10.2923
1 2.6904 7.83048 12.7828
2 2.68068 10.1153 12.7844
1 0.20237 10.1466 12.6097
2 5.21976 7.70572 12.741
1 5.03888 10.2712 12.6642
2 7.52619 10.2299 12.739
2 7.6807 7.66121 10.2817
1 7.62716 7.66826 12.7918
2 10.0826 7.65839 12.7305
1 7.73641 10.2137 10.3585
1 10.2656 10.108 12.7043
2 12.5392 10.1275 12.6243
2 2.59998 14.9566 12.6197
2 2.75052 12.5199 10.3023
1 2.58703 12.5787 12.6872
1 0.2275 14.952 12.7389
2 7.53662 12.5937 10.2986
1 5.12759 15.046 12.6335
2 5.05637 12.7644 12.8833
1 10.0967 15.0952 12.8553
