Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
Job started on lh1732.arc-ts.umich.edu at Tue Aug 20 17:45:50 EDT 2024
input loaded from LiMg-example-0.8-5000relax-test-3.yaml, batchMode = True, batchInit = True, batchTemp = 
LAMMPS calc!
      Step     Time          Energy          fmax
FIRE:    0 17:46:11     -298.294030        0.686008
input loaded from LiMg-example-0.8-5000relax-test.yaml, batchMode = True, batchInit = True, batchTemp = 
LAMMPS calc!
      Step     Time          Energy          fmax
FIRE:    0 17:46:11     -298.294030        0.686008
FIRE:    1 17:46:11     -298.308148        0.685987
FIRE:    1 17:46:11     -298.308148        0.685987
FIRE:    2 17:46:11     -298.336382        0.685944
FIRE:    2 17:46:11     -298.336382        0.685944
FIRE:    3 17:46:11     -298.378729        0.685880
FIRE:    3 17:46:11     -298.378729        0.685880
FIRE:    4 17:46:11     -298.435184        0.685795
FIRE:    4 17:46:11     -298.435184        0.685795
FIRE:    5 17:46:11     -298.505738        0.685687
FIRE:    5 17:46:11     -298.505738        0.685687
FIRE:    6 17:46:11     -298.590385        0.685558
FIRE:    6 17:46:11     -298.590385        0.685558
FIRE:    7 17:46:11     -298.689112        0.685406
FIRE:    7 17:46:11     -298.689112        0.685406
FIRE:    8 17:46:11     -298.814735        0.685211
FIRE:    8 17:46:11     -298.814735        0.685211
FIRE:    9 17:46:11     -298.973494        0.684964
FIRE:    9 17:46:11     -298.973494        0.684964
FIRE:   10 17:46:11     -299.172988        0.684649
FIRE:   10 17:46:11     -299.172988        0.684649
FIRE:   11 17:46:11     -299.410092        0.684271
FIRE:   11 17:46:11     -299.410092        0.684271
FIRE:   12 17:46:11     -299.647064        0.683888
FIRE:   12 17:46:11     -299.647064        0.683888
FIRE:   13 17:46:11     -299.883903        0.683501
FIRE:   13 17:46:11     -299.883903        0.683501
FIRE:   14 17:46:11     -300.120607        0.683108
FIRE:   14 17:46:11     -300.120607        0.683108
FIRE:   15 17:46:11     -300.357174        0.682710
FIRE:   15 17:46:11     -300.357174        0.682710
FIRE:   16 17:46:11     -300.593602        0.682308
FIRE:   16 17:46:11     -300.593602        0.682308
FIRE:   17 17:46:11     -300.829890        0.681901
FIRE:   17 17:46:11     -300.829890        0.681901
FIRE:   18 17:46:11     -301.066036        0.681489
FIRE:   18 17:46:11     -301.066036        0.681489
FIRE:   19 17:46:11     -301.302038        0.681071
FIRE:   19 17:46:11     -301.302038        0.681071
FIRE:   20 17:46:11     -301.537896        0.680649
FIRE:   20 17:46:11     -301.537896        0.680649
FIRE:   21 17:46:11     -301.773606        0.680222
FIRE:   21 17:46:11     -301.773606        0.680222
FIRE:   22 17:46:11     -302.009167        0.679790
FIRE:   22 17:46:11     -302.009167        0.679790
FIRE:   23 17:46:11     -302.244577        0.679353
FIRE:   23 17:46:11     -302.244577        0.679353
FIRE:   24 17:46:11     -302.479836        0.678911
FIRE:   24 17:46:11     -302.479836        0.678911
FIRE:   25 17:46:13     -302.714940        0.678463
FIRE:   25 17:46:13     -302.714940        0.678463
FIRE:   26 17:46:13     -302.949888        0.678011
FIRE:   26 17:46:13     -302.949888        0.678011
FIRE:   27 17:46:13     -303.184679        0.677553
FIRE:   27 17:46:13     -303.184679        0.677553
FIRE:   28 17:46:13     -303.419310        0.677091
FIRE:   28 17:46:13     -303.419310        0.677091
FIRE:   29 17:46:13     -303.653781        0.676623
FIRE:   29 17:46:13     -303.653781        0.676623
FIRE:   30 17:46:13     -303.888088        0.676150
FIRE:   30 17:46:13     -303.888088        0.676150
FIRE:   31 17:46:13     -304.122231        0.675672
FIRE:   31 17:46:13     -304.122231        0.675672
FIRE:   32 17:46:13     -304.356206        0.675188
FIRE:   32 17:46:13     -304.356206        0.675188
FIRE:   33 17:46:13     -304.590014        0.674699
FIRE:   33 17:46:13     -304.590014        0.674699
FIRE:   34 17:46:13     -304.823651        0.674205
FIRE:   34 17:46:13     -304.823651        0.674205
FIRE:   35 17:46:13     -305.057117        0.673706
FIRE:   35 17:46:13     -305.057117        0.673706
FIRE:   36 17:46:13     -305.290408        0.673201
FIRE:   36 17:46:13     -305.290408        0.673201
input loaded from LiMg-example-0.8-5000relax-test-4.yaml, batchMode = True, batchInit = True, batchTemp = 
LAMMPS calc!
      Step     Time          Energy          fmax
FIRE:    0 17:46:13     -298.294030        0.686008
input loaded from LiMg-example-0.8-5000relax-test-2.yaml, batchMode = True, batchInit = True, batchTemp = 
LAMMPS calc!
      Step     Time          Energy          fmax
FIRE:    0 17:46:13     -298.294030        0.686008
FIRE:   37 17:46:13     -305.523523        0.672691
FIRE:   37 17:46:13     -305.523523        0.672691
