LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (20.936728 20.936728 62.810183)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  1536 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_data CPU = 0.048 seconds
768 atoms in group gSolid
768 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 7 7 20
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 6.511 | 6.511 | 6.511 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
         0   300           -5872.7754     -5813.2511      39628.941      27532.628      0            
        10   303.68152     -5875.2349     -5814.9801      38627.155      27603.289      0.0017325391 
        20   314.82835     -5882.3075     -5819.841       35772.739      27811.843      0.010286637  
        30   331.33984     -5892.6028     -5826.8602      31492.705      28141.958      0.034342477  
        40   350.54454     -5904.085      -5834.5319      26367.017      28552.58       0.082500228  
        50   369.84957     -5914.8029     -5841.4194      21134.782      28981.278      0.15493346   
        60   387.37319     -5923.8109     -5846.9505      16597.863      29374.709      0.24222843   
        70   402.82542     -5931.2194     -5851.293       12863.423      29714.34       0.33469417   
        80   416.67925     -5937.3713     -5854.6962      9808.6969      30008.105      0.42857515   
        90   428.33505     -5942.3917     -5857.4039      7300.3094      30269.414      0.52414498   
       100   435.5051      -5946.1381     -5859.7276      5298.7277      30506.818      0.62222357   
       110   435.53358     -5948.3302     -5861.9141      3721.8718      30723.677      0.72273067   
       120   427.01319     -5948.7469     -5864.0214      2423.702       30920.498      0.82463001   
       130   410.39743     -5947.4136     -5865.9848      1407.3234      31096.719      0.92611205   
       140   388.65947     -5944.8464     -5867.7308      623.90129      31251.939      1.0249476    
       150   366.85545     -5942.0325     -5869.2431      60.955402      31386.387      1.118872     
