LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (82.64 19.68 39.36)
  4 by 1 by 2 MPI processor grid
  reading atoms ...
  4096 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.001 seconds
  read_data CPU = 0.093 seconds
2048 atoms in group gSolid
2048 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.22
  ghost atom cutoff = 6.22
  binsize = 3.11, bins = 27 7 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair quip, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.499 | 6.499 | 6.499 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
         0   300           -41938.965     -41780.168      199175.27      64013.341      0            
        10   212.06448     -42009.479     -41897.229      181192.17      64712.656      0.0068650018 
        20   198.9838      -42214.731     -42109.404      146574.51      66230.784      0.051696274  
        30   297.25496     -42404.187     -42246.843      117443.3       67525.739      0.12225095   
        40   299.17866     -42501.159     -42342.798      91899.423      68737.589      0.21452151   
        50   270.62652     -42548.426     -42405.178      67898.266      69826.46       0.31787805   
        60   291.50198     -42593.214     -42438.916      47173.832      70704.488      0.41541649   
        70   288.04419     -42608.13      -42455.663      31539.524      71397.849      0.50328778   
        80   247.26073     -42594.572     -42463.692      20114.648      71946.374      0.58058604   
        90   224.48718     -42585.727     -42466.901      10704.503      72374.257      0.64442638   
       100   227.09825     -42587.504     -42467.296      3438.2763      72691.334      0.69142094   
       110   230.08566     -42588.196     -42466.407     -1352.596       72905.397      0.72067195   
       120   246.23469     -42595.436     -42465.099     -4521.3899      73028.604      0.73347824   
       130   293.41981     -42618.986     -42463.673     -6689.1275      73073.379      0.73112083   
       140   309.56613     -42626.314     -42462.454     -6541.3335      73052.386      0.71591287   
       150   287.07773     -42613.574     -42461.618     -4784.0154      72987.804      0.69156702   
       160   274.94605     -42606.547     -42461.012     -3512.9331      72904.502      0.66263117   
       170   278.32083     -42607.793     -42460.472     -2385.0008      72817.27       0.63384035   
       180   279.69514     -42607.876     -42459.828     -652.22419      72735.925      0.60933059   
       190   284.53769     -42609.567     -42458.956      1350.5373      72671.917      0.59185005   
       200   300.4253      -42616.842     -42457.821      3119.8696      72635.865      0.58227653   
       210   307.86033     -42619.581     -42456.624      4662.9665      72634.491      0.57974149   
       220   293.86987     -42611.286     -42455.735      5565.2044      72671.18       0.58237392   
       230   277.20502     -42602.043     -42455.312      5084.8474      72743.522      0.58812169   
