LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (84.12 20.4 40.8)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  4096 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.002 seconds
  read_data CPU = 0.049 seconds
2048 atoms in group gSolid
2048 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 27 7 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 7.857 | 7.857 | 7.857 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
         0   300           -15645.355     -15486.559      61611.601      70014.758      0            
        10   288.52737     -15650.326     -15497.603      59066.249      70279.663      0.0021470486 
        20   258.89399     -15663.918     -15526.88       53485.021      71034.181      0.015618535  
        30   222.79819     -15680.507     -15562.575      47235.179      72067.062      0.051653672  
        40   189.9388      -15693.107     -15592.569      42260.114      73055.43       0.10527922   
        50   165.14051     -15703.171     -15615.759      38300.162      73915.715      0.16656909   
        60   150.13548     -15715.318     -15635.849      34554.761      74736.57       0.23596648   
        70   144.95389     -15730.574     -15653.847      30778.912      75553.003      0.31427005   
        80   147.64258     -15747.148     -15668.998      27107.222      76336.222      0.39751755   
        90   155.05686     -15763.026     -15680.952      23788.649      77052.796      0.48018568   
       100   164.38118     -15777.111     -15690.101      20857.482      77693.78       0.55892645   
       110   173.88994     -15789.076     -15697.033      18176.577      78267.607      0.63287493   
       120   182.84588     -15799.014     -15702.23       15733.497      78785.618      0.70218249   
       130   191.30266     -15807.315     -15706.055      13513.717      79256.177      0.7670862    
       140   199.80613     -15814.542     -15708.781      11564.458      79684.4        0.82768584   
       150   208.90662     -15821.207     -15710.629      9918.1589      80073.881      0.88408198   
       160   218.82184     -15827.593     -15711.766      8539.8344      80427.932      0.936513     
       170   229.40539     -15833.762     -15712.333      7385.4234      80749.845      0.98536532   
       180   239.98219     -15839.474     -15712.446      6444.8359      81042.793      1.0311104    
       190   249.73565     -15844.416     -15712.226      5686.6021      81310.007      1.074285     
       200   257.86315     -15848.217     -15711.725      5079.1992      81554.705      1.1154485    
       210   263.91185     -15850.721     -15711.027      4568.1919      81779.897      1.1551001    
       220   268.03392     -15852.059     -15710.183      4156.6963      81988.251      1.1936079    
       230   270.81134     -15852.562     -15709.217      3771.621       82182.111      1.2312309    
       240   273.04325     -15852.671     -15708.144      3398.2559      82363.1        1.2680557    
       250   275.33169     -15852.72      -15706.981      3075.098       82532.297      1.3040461    
       260   277.806       -15852.801     -15705.752      2781.97        82690.69       1.3391569    
       270   279.96384     -15852.66      -15704.47       2544.5364      82839.173      1.3733639    
       280   281.52375     -15852.172     -15703.156      2345.235       82978.728      1.4066849    
       290   282.58905     -15851.395     -15701.814      2211.7471      83110.413      1.4391568    
       300   283.23153     -15850.375     -15700.455      2079.5517      83235.45       1.4708611    
       310   283.50275     -15849.143     -15699.079      1981.1787      83354.765      1.5018239    
       320   283.47632     -15847.749     -15697.699      1923.087       83469.315      1.53207      
       330   283.73512     -15846.479     -15696.292      1871.6336      83580.12       1.5616347    
       340   285.05578     -15845.758     -15694.872      1822.8571      83688.029      1.59055      
       350   287.62508     -15845.688     -15693.442      1757.1538      83793.658      1.618887     
       360   290.79127     -15845.934     -15692.012      1701.1342      83897.317      1.646732     
       370   293.79061     -15846.111     -15690.602      1637.4168      83999.221      1.674181     
       380   296.4221      -15846.146     -15689.243      1615.085       84099.564      1.7013099    
       390   299.08512     -15846.25      -15687.938      1610.6328      84198.829      1.7282095    
