LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (93.342894 23.335724 46.671447)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  4096 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.002 seconds
  read_data CPU = 0.042 seconds
2048 atoms in group gSolid
2048 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 30 8 15
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 7.102 | 7.102 | 7.102 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
         0   300           -14944.133     -14785.337      32678.326      101660.86      0            
        10   296.23213     -14948.051     -14791.249      31511.326      101957.23      0.0018188957 
        20   287.15847     -14959.474     -14807.475      29164.087      102817.63      0.017296481  
        30   274.94917     -14974.658     -14829.122      25865.453      104089         0.067648831  
        40   262.48139     -14988.188     -14849.252      22610.536      105448.35      0.15767588   
        50   253.02588     -14998.527     -14864.596      20070.902      106657.07      0.26953398   
        60   249.03479     -15008.168     -14876.349      18162.112      107730.55      0.39407836   
        70   252.03205     -15019.751     -14886.345      16628.361      108761.21      0.53522047   
        80   262.27159     -15034.311     -14895.485      15407.658      109785.87      0.69578117   
        90   278.87163     -15051.528     -14903.916      14511.144      110792.04      0.87300078   
       100   300.18038     -15070.541     -14911.649      13972.348      111756.18      1.0613423    
       110   324.39898     -15090.562     -14918.852      13724.894      112668.23      1.2566202    
       120   349.4221      -15110.893     -14925.936      13700.139      113534.88      1.4578043    
       130   372.41744     -15130.521     -14933.392      13780.117      114371.79      1.6663366    
       140   391.52931     -15148.97      -14941.725      13833.759      115194.7       1.8844847    
       150   406.17859     -15166.126     -14951.127      13780.874      116014.09      2.1139807    
       160   416.0904      -15181.412     -14961.167      13545.874      116834.06      2.3554377    
       170   421.56386     -15194.326     -14971.184      13132.159      117652.88      2.6079719    
