LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (21.536477 21.536477 64.60943)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  1536 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.002 seconds
  read_data CPU = 0.041 seconds
768 atoms in group gSolid
768 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 7 7 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 6.605 | 6.605 | 6.605 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
         0   300           -5749.0148     -5689.4905      44194.126      29967.135      0            
        10   319.25949     -5755.4004     -5692.0547      43024.222      30060.675      0.0018303163 
        20   368.22759     -5772.2018     -5699.1402      38470.416      30335.257      0.012862295  
        30   435.2684      -5795.3456     -5708.9821      32138.288      30759.308      0.04619652   
        40   504.46049     -5819.4243     -5719.3321      25193.9        31261.085      0.11110521   
        50   563.92976     -5840.3177     -5728.426       19025.386      31750.591      0.20157518   
        60   609.35025     -5856.4069     -5735.503       14471.139      32174.532      0.30278468   
        70   636.44055     -5867.7191     -5741.4402      11460.969      32532.406      0.40576274   
        80   642.08582     -5874.6544     -5747.2554      9529.292       32845.873      0.50925905   
        90   628.80244     -5877.7855     -5753.0221      8229.4419      33133.358      0.61448409   
       100   600.85378     -5877.765      -5758.547       7363.914       33404.684      0.72218039   
       110   562.12875     -5875.2609     -5763.7265      6802.1116      33663.944      0.83230012   
       120   516.65216     -5870.9667     -5768.4555      6389.4351      33912.445      0.94432446   
       130   468.541       -5865.6171     -5772.6518      6009.0999      34150.269      1.0574238    
       140   421.93099     -5859.9965     -5776.2793      5572.1709      34376.973      1.1705131    
       150   380.60335     -5854.8534     -5779.3362      4964.5156      34591.774      1.282277     
