LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading restart file ...
  restart file = 2 Aug 2023, LAMMPS = 2 Aug 2023
  restoring atom style full from restart
  orthogonal box = (-0.73569318 -0.82717062 -9.2097329) to (24.671166 24.762643 81.01615)
  1 by 1 by 1 MPI processor grid
  pair style chgnet/gpu stores no restart info
  1536 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.001 seconds
  read_restart CPU = 0.086 seconds
Resetting peratom fix info from restart file:
  fix style: STORE/ATOM, fix ID: msd_COMPUTE_STORE
All restart file peratom fix info was re-assigned
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 9 9 29
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 20000
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.519 | 6.519 | 6.519 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
     20000   1512.4261     -5388.1073     -5088.0203      2618.0827      58660.97       49.242492    
     20010   1521.4926     -5389.9373     -5088.0513      2461.3814      58661.128      49.35739     
     20020   1515.6329     -5388.8818     -5088.1586      2514.4099      58661.523      49.445333    
     20030   1508.7052     -5387.6924     -5088.3437      2721.9639      58662.173      49.523421    
     20040   1491.7447     -5384.5378     -5088.5543      2996.3255      58663.361      49.610467    
     20050   1485.3748     -5383.4854     -5088.7657      3220.8652      58665.355      49.704672    
     20060   1506.1089     -5387.8099     -5088.9764      3240.8754      58667.993      49.794605    
     20070   1509.0165     -5388.6515     -5089.241       3226.484       58671.115      49.885679    
     20080   1491.0407     -5385.4204     -5089.5766      3224.4073      58674.953      49.984434    
     20090   1470.9514     -5381.8008     -5089.943       2998.0691      58679.911      50.0857      
     20100   1460.122      -5379.9756     -5090.2665      2631.6308      58686.104      50.193368    
     20110   1456.4268     -5379.5054     -5090.5294      2201.5043      58693.054      50.312112    
     20120   1441.7246     -5376.7397     -5090.6809      2051.8534      58700.171      50.440145    
     20130   1449.2463     -5378.2683     -5090.7171      2024.0046      58707.055      50.574919    
     20140   1459.7321     -5380.2389     -5090.6071      2133.2431      58713.527      50.723228    
     20150   1458.088      -5379.6841     -5090.3785      2449.5692      58719.742      50.889732    
     20160   1450.7012     -5377.8296     -5089.9897      2781.9052      58725.964      51.065794    
     20170   1477.362      -5382.5519     -5089.4221      2641.5913      58732.447      51.242139    
     20180   1486.1184     -5383.5725     -5088.7053      2720.5452      58739.581      51.416093    
