#T                   #25                  #50                  #75                  #100                 #125                 #150                 #175                 #200                 #225                 #250                 #275                 #300                 #325                 #350                 #375                 #400                 #425                 #450                 #475                 #500                 #525                 #550                 #575                 #600                 #625                 #650                 #675                 #700                 #725                 #750                 #775                 #800                 #825                 #850                 #875                 #900                 
0.000               -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        -3716.162397        
0.050               -3700.456048        -3700.454140        -3700.451108        -3700.594165        -3700.690358        -3700.601513        -3700.483056        -3700.317891        -3699.914384        -3699.632816        -3699.210724        -3698.482214        -3697.810869        -3697.488796        -3697.297097        -3697.141419        -3697.015610        -3696.950708        -3696.865451        -3696.797146        -3696.740662        -3696.677911        -3696.623773        -3696.595319        -3696.544539        -3696.513737        -3696.483335        -3696.452473        -3696.418200        -3696.393909        -3696.376674        -3696.358557        -3696.336140        -3696.319494        -3696.292497        -3696.280964        
0.100               -3684.289008        -3684.290804        -3684.308182        -3684.471276        -3685.601304        -3685.872794        -3685.891163        -3685.682204        -3685.302164        -3685.493906        -3685.048563        -3684.105086        -3683.514357        -3682.760219        -3682.055522        -3681.288913        -3680.173638        -3679.582201        -3679.214435        -3678.838703        -3678.553296        -3678.292530        -3678.198325        -3677.976879        -3677.794448        -3677.677374        -3677.502527        -3677.374929        -3677.287020        -3677.203019        -3677.135341        -3677.008265        -3676.938757        -3676.863344        -3676.770353        -3676.729798        
0.150               -3669.389809        -3669.698790        -3669.826627        -3669.981704        -3670.770736        -3670.741276        -3671.209416        -3671.003492        -3670.845380        -3670.620741        -3670.221389        -3670.268199        -3669.799582        -3669.290498        -3668.884048        -3668.446960        -3667.574949        -3667.176517        -3666.096235        -3664.259161        -3663.737328        -3662.328763        -3661.249129        -3660.304710        -3659.947894        -3659.446122        -3659.264029        -3658.820390        -3658.565819        -3658.345470        -3658.074925        -3657.883828        -3657.676965        -3657.489841        -3657.279132        -3657.111886        
0.200               -3656.018135        -3656.700077        -3657.652955        -3657.803671        -3657.784774        -3657.814598        -3658.333269        -3658.122189        -3657.855790        -3657.842265        -3657.541970        -3657.271265        -3657.077995        -3656.823453        -3656.673941        -3656.163425        -3656.148546        -3655.793661        -3655.293872        -3654.814787        -3654.134108        -3653.435339        -3652.335594        -3649.391528        -3648.444103        -3642.766984        -3642.310618        -3641.274220        -3640.831285        -3640.427674        -3640.028773        -3639.465401        -3639.194198        -3638.980981        -3638.554350        -3638.273927        
0.250               -3639.109619        -3643.002222        -3642.997635        -3643.043749        -3644.432249        -3645.086339        -3645.343952        -3645.343952        -3645.343952        -3645.343952        -3645.343952        -3645.343952        -3645.343952        -3645.343952        -3645.343952        -3644.490470        -3645.181540        -3644.411660        -3644.786542        -3643.617502        -3643.033654        -3642.360873        -3641.775350        -3641.129558        -3639.158358        -3636.598839        -3634.995481        -3624.316870        -3622.708523        -3621.406138        -3620.847433        -3620.252779        -3619.767524        -3619.398388        -3618.722877        -3618.277910        
0.300               -3615.036625        -3615.300619        -3615.382514        -3615.748960        -3616.101098        -3617.024658        -3618.555908        -3620.839120        -3620.582172        -3619.944865        -3619.964700        -3619.422234        -3618.763593        -3618.434313        -3617.940184        -3617.802298        -3617.610849        -3617.379087        -3617.062314        -3616.751814        -3616.676942        -3616.116553        -3615.758165        -3615.024220        -3613.794025        -3612.725839        -3611.130730        -3607.271139        -3602.190676        -3600.580353        -3599.454365        -3598.624766        -3598.034334        -3597.558661        -3597.243572        -3596.733149        
0.350               -3594.014617        -3594.902623        -3594.943083        -3594.941949        -3594.817733        -3595.201403        -3595.909166        -3598.005608        -3598.080115        -3597.868798        -3597.857926        -3595.942404        -3595.397896        -3595.157520        -3594.260044        -3593.516173        -3593.265080        -3591.512041        -3590.911891        -3590.360393        -3589.441285        -3588.444368        -3588.154973        -3586.639481        -3582.940426        -3584.810538        -3581.042901        -3579.669157        -3578.151989        -3576.850721        -3576.411693        -3575.945920        -3575.120200        -3574.678935        -3574.273894        -3574.048208        
0.400               -3567.936640        -3568.889151        -3570.705900        -3571.812273        -3572.026307        -3572.020769        -3572.670165        -3574.141903        -3574.329393        -3575.499919        -3575.112730        -3574.668535        -3573.188153        -3572.634696        -3571.979256        -3571.463337        -3571.048069        -3569.998644        -3569.284058        -3568.459459        -3567.643049        -3565.412055        -3565.045284        -3561.766386        -3558.886314        -3556.987791        -3556.862856        -3554.786775        -3553.593684        -3553.073076        -3552.524431        -3552.108905        -3551.665660        -3551.015176        -3550.750585        -3550.306281        
0.450               -3544.909719        -3545.867812        -3546.004380        -3545.977942        -3545.946225        -3546.141551        -3547.023057        -3552.302650        -3552.400637        -3552.139890        -3551.327016        -3550.940541        -3550.814635        -3550.483309        -3550.206146        -3549.796539        -3549.652014        -3549.421994        -3548.810990        -3548.418259        -3547.755469        -3546.898558        -3545.418777        -3543.412551        -3541.342311        -3530.289412        -3529.154234        -3528.790205        -3528.009360        -3527.518604        -3527.082930        -3526.589118        -3526.043801        -3525.786686        -3525.346372        -3525.011070        
0.500               -3520.756410        -3524.142728        -3527.711702        -3528.246805        -3528.325691        -3528.325691        -3528.325691        -3528.325691        -3528.325691        -3528.325691        -3527.940707        -3527.616883        -3527.780954        -3527.415018        -3527.132369        -3527.134267        -3526.350987        -3525.561963        -3524.782544        -3523.510353        -3520.424616        -3525.697239        -3525.166617        -3522.137282        -3519.646068        -3515.572342        -3503.110803        -3502.143149        -3501.293505        -3501.149444        -3500.386123        -3500.054706        -3499.762552        -3499.410062        -3499.058275        -3498.731493        
0.550               -3491.082192        -3491.969749        -3492.394715        -3493.680238        -3494.541985        -3495.993324        -3497.006541        -3496.974502        -3496.532104        -3499.168524        -3499.301318        -3498.727051        -3498.078567        -3497.360682        -3496.999341        -3496.793510        -3496.563401        -3496.244075        -3495.480986        -3495.352859        -3494.170840        -3492.816589        -3491.937105        -3488.324204        -3481.555098        -3476.304328        -3475.225712        -3474.677153        -3474.207922        -3473.839333        -3473.311120        -3473.087116        -3472.538157        -3472.142382        -3472.026658        -3471.790460        
0.600               -3461.642248        -3462.502356        -3462.859796        -3462.840218        -3462.972410        -3462.912641        -3464.045537        -3467.665015        -3469.951570        -3469.874915        -3469.589047        -3469.329219        -3468.777065        -3467.675204        -3466.761709        -3463.877338        -3462.848831        -3462.210877        -3461.514743        -3460.259178        -3459.391790        -3457.919233        -3454.344728        -3448.690938        -3447.841587        -3447.016910        -3446.696510        -3445.909303        -3445.535659        -3445.158068        -3444.874700        -3444.612115        -3444.441316        -3444.116475        -3443.997696        -3443.710267        
0.650               -3437.109489        -3437.264898        -3437.311345        -3437.370641        -3437.354794        -3437.479139        -3438.017076        -3438.072111        -3437.664540        -3437.514338        -3438.171751        -3438.315986        -3437.436502        -3436.691864        -3434.651851        -3434.217387        -3431.981180        -3429.632174        -3428.760390        -3426.596009        -3424.478830        -3421.343934        -3420.779222        -3420.095479        -3419.418327        -3418.956792        -3418.556104        -3418.256153        -3417.953235        -3417.667302        -3417.399645        -3417.217000        -3416.953720        -3416.666776        -3416.472046        -3416.438028        
0.700               -3404.618621        -3404.667332        -3404.652239        -3406.035231        -3406.288825        -3406.372474        -3406.229499        -3406.127707        -3405.536780        -3405.249698        -3404.472264        -3403.526912        -3404.644323        -3406.816103        -3406.738887        -3403.437238        -3397.790268        -3396.147762        -3394.598814        -3392.710564        -3391.789962        -3391.169508        -3390.823173        -3390.387057        -3390.037335        -3389.756212        -3389.418878        -3389.088610        -3388.952465        -3388.727827        -3388.571043        -3388.381360        -3388.223626        -3388.081687        -3387.964492        -3387.777696        
