# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.0125 0.0 
0.0375 0.0 
0.0625 0.0 
0.0875 0.0 
0.1125 0.0 
0.1375 0.0 
0.1625 0.0 
0.1875 0.0 
0.2125 0.0 
0.2375 0.0 
0.2625 0.0903476309 
0.2875 0.0 
0.3125 0.0572927337 
0.3375 0.0 
0.3625 0.0 
0.3875 0.0 
0.4125 0.0 
0.4375 0.0 
0.4625 0.0 
0.4875 0.0 
0.5125 0.0 
0.5375 0.0193729575 
0.5625 0.0 
0.5875 0.0 
0.6125 0.0166047006 
0.6375 0.0137725741 
0.6625 0.0 
0.6875 0.0 
0.7125 0.0 
0.7375 0.0 
0.7625 0.0 
0.7875 0.0 
0.8125 0.0 
0.8375 0.0 
0.8625 0.0 
0.8875 0.0 
0.9125 0.0149637557 
0.9375 0.0 
0.9625 0.0 
0.9875 0.0 
1.0125 0.0 
1.0375 0.0 
1.0625 0.0 
1.0875 0.0 
1.1125 0.0 
1.1375 0.0 
1.1625 0.0 
1.1875 0.0 
1.2125 0.0 
1.2375 0.0 
1.2625 0.0 
1.2875 0.0037583343 
1.3125 0.0 
1.3375 0.0 
1.3625 0.0 
1.3875 0.0 
1.4125 0.0 
1.4375 0.0030149275 
1.4625 0.0 
1.4875 0.0 
1.5125 0.0 
1.5375 0.0 
1.5625 0.006009118 
1.5875 0.0024613655 
1.6125 0.0097231721 
1.6375 0.0170347705 
1.6625 0.0190276828 
1.6875 0.0361568668 
1.7125 0.0570378175 
1.7375 0.0605832266 
1.7625 0.0957164283 
1.7875 0.1295033808 
1.8125 0.1703812086 
1.8375 0.2198615713 
1.8625 0.2732304834 
1.8875 0.3159647858 
1.9125 0.3305295584 
1.9375 0.4132463481 
1.9625 0.4654406587 
1.9875 0.5598912545 
2.0125 0.6244255399 
2.0375 0.6788133364 
2.0625 0.6728910427 
2.0875 0.8467718978 
2.1125 0.8224730923 
2.1375 0.82721468 
2.1625 0.9367649927 
2.1875 0.8892121521 
2.2125 0.9652832611 
2.2375 0.9650240041 
2.2625 0.9288546845 
2.2875 0.9202708807 
2.3125 0.9003934793 
2.3375 0.831111042 
2.3625 0.8550343294 
2.3875 0.7701947565 
2.4125 0.8559449334 
2.4375 0.8195458789 
2.4625 0.7680008412 
2.4875 0.8195772999 
2.5125 0.7132534496 
2.5375 0.7595108847 
2.5625 0.7635639953 
2.5875 0.8017586436 
2.6125 0.8362577917 
2.6375 0.8390514911 
2.6625 0.8867719399 
2.6875 0.9743851363 
2.7125 0.9499872861 
2.7375 1.0378908118 
2.7625 0.9894533829 
2.7875 1.0475541031 
2.8125 1.0854568622 
2.8375 1.1092373653 
2.8625 1.0889277897 
2.8875 1.0933583775 
2.9125 1.148563274 
2.9375 1.1319451135 
2.9625 1.1283142569 
2.9875 1.129300495 
3.0125 1.1150275455 
3.0375 1.1235284362 
3.0625 1.1330146412 
3.0875 1.1447138571 
3.1125 1.103044798 
3.1375 1.0970597035 
3.1625 1.1302235513 
3.1875 1.1129889839 
3.2125 1.1162970291 
3.2375 1.1054331237 
3.2625 1.0979159503 
3.2875 1.0884422048 
3.3125 1.1054711824 
3.3375 1.1188802334 
3.3625 1.1110850261 
3.3875 1.1395144206 
3.4125 1.0976527989 
3.4375 1.1428781807 
3.4625 1.0970354334 
3.4875 1.1426618679 
3.5125 1.1388526936 
3.5375 1.1241509116 
3.5625 1.1492307804 
3.5875 1.1221709971 
3.6125 1.0867791982 
3.6375 1.1159907972 
3.6625 1.1227825721 
3.6875 1.0965428602 
3.7125 1.1365126401 
3.7375 1.1309007235 
3.7625 1.1238517057 
3.7875 1.0794480813 
3.8125 1.1295602252 
3.8375 1.1091165897 
3.8625 1.0723266715 
3.8875 1.0934259634 
3.9125 1.0877624844 
3.9375 1.0994647563 
3.9625 1.089791934 
3.9875 1.0905545269 
4.0125 1.0609243555 
4.0375 1.0875912303 
4.0625 1.0575994342 
4.0875 1.107285594 
4.1125 1.0572680285 
4.1375 1.0535364277 
4.1625 1.0802415676 
4.1875 1.0466430732 
4.2125 1.0330052817 
4.2375 1.0049494275 
4.2625 1.0115899452 
4.2875 1.0228198787 
4.3125 1.0137891112 
4.3375 1.0063426152 
4.3625 1.0209289677 
4.3875 0.9855861141 
4.4125 1.0122020186 
4.4375 0.9910145469 
4.4625 0.9837273686 
4.4875 0.9967172885 
4.5125 0.9667179459 
4.5375 0.9727957648 
4.5625 0.9482798998 
4.5875 0.9738660836 
4.6125 0.9632429386 
4.6375 0.9510531128 
4.6625 0.9542871125 
4.6875 0.9558279844 
4.7125 0.9569747882 
4.7375 0.9375226661 
4.7625 0.958022096 
4.7875 0.9611328139 
4.8125 0.9419360484 
4.8375 0.9132048282 
4.8625 0.9545631406 
4.8875 0.9587691262 
4.9125 0.9624166006 
4.9375 0.935543915 
4.9625 0.9355942947 
4.9875 0.9557107195 
